id,category,feature,airtable,notion,clickup,baserow,nocodb,paperos_issue,paperos_status,tier,notes,source
FST-005,filter-structure,Dynamic value: current user,yes,yes,yes,yes,partial,PAP-617,planned,P0,Baserow user_is accepts the acting user.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_filters.py (accessed 2026-09-19)
FST-006,filter-structure,Dynamic value: another field in the same record,no,yes,no,partial,no,PAP-617,planned,P0,Notion compares two properties in advanced filters.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
FST-007,filter-structure,Quick filter chips above the view,no,no,yes,no,no,PAP-617,planned,P0,ClickUp filter bar; PaperOS ships chips plus the sentence renderer.,https://clickup.com/features/views (accessed 2026-09-19)
FST-008,filter-structure,Plain-language rendering of the filter,no,no,no,no,no,PAP-617,planned,P0,PaperOS-only: the sentence renderer feeds the voice vocabulary.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
FST-009,filter-structure,Viewer-only temporary filters (not saved),yes,yes,yes,yes,partial,PAP-618,planned,P0,Airtable personal filters; PaperOS holds them in the URL.,https://support.airtable.com/docs/getting-started-with-airtable-views (accessed 2026-09-19)
FST-010,filter-structure,Filter reusable by automations and segments,partial,no,partial,no,no,PAP-617,planned,P0,"One FilterTree shared by views, automations and audiences.",https://support.airtable.com/docs/automations-overview (accessed 2026-09-19)
FST-011,filter-structure,Filter referencing a deleted field degrades safely,no,no,no,no,no,PAP-161,planned,P0,PaperOS flags the condition orphaned and skips it at compile.,https://baserow.io/user-docs (accessed 2026-09-19)
SRT-001,sorting,Sort ascending / descending,yes,yes,yes,yes,yes,PAP-618,planned,P0,Universal.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
SRT-002,sorting,Multi-level sort with explicit order,yes,yes,yes,yes,yes,PAP-618,planned,P0,Notion supports multiple sorts with customisable order.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
SRT-003,sorting,"Type-aware sort (text alphabetical, select custom order)",yes,yes,yes,yes,yes,PAP-335,planned,P0,Notion documents per-type sort logic.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
SRT-004,sorting,Manual drag ordering (fractional index),yes,yes,yes,yes,yes,PAP-341,planned,P0,NocoDB Order system column.,https://raw.githubusercontent.com/nocodb/nocodb/develop/packages/nocodb-sdk/src/lib/UITypes.ts (accessed 2026-09-19)
SRT-005,sorting,Sort by a lookup or rollup,yes,yes,no,yes,yes,PAP-336,planned,P0,Requires the computed value in SQL.,https://baserow.io/user-docs (accessed 2026-09-19)
SRT-006,sorting,Stable pagination under a sort (keyset cursor),no,no,no,partial,partial,PAP-163,planned,P0,Products use offset paging; PaperOS signs keyset cursors. Umbrella owns the feature; children own the slices.,https://baserow.io/user-docs (accessed 2026-09-19)
GRP-001,grouping,Group rows by a field,yes,yes,yes,yes,yes,PAP-343,planned,P0,Baserow group rows by field; NocoDB toolbar Groups.,https://baserow.io/user-docs (accessed 2026-09-19)
GRP-002,grouping,Second and third grouping level,yes,yes,yes,yes,yes,PAP-343,planned,P0,Notion sub-group is one extra level; PaperOS allows three.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
GRP-003,grouping,Collapse and expand groups,yes,yes,yes,yes,yes,PAP-343,planned,P0,Notion hide/show groups.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
GRP-004,grouping,Hide empty groups,yes,yes,yes,yes,partial,PAP-343,planned,P0,Notion documents hiding empty groups.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
GRP-005,grouping,Manual or automatic ordering of groups,yes,yes,yes,yes,partial,PAP-343,planned,P0,Notion allows manual or automatic group sorting.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
GRP-006,grouping,Per-group aggregate row,yes,yes,yes,yes,yes,PAP-336,planned,P0,Group footers in every grid product.,https://baserow.io/user-docs (accessed 2026-09-19)
GRP-007,grouping,Group by multi-select with one row per value,no,no,no,no,no,PAP-336,planned,P0,PaperOS expandMulti option; products group by the whole set.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
GRP-008,grouping,Group by a date rollup (day/week/month),yes,yes,yes,partial,partial,PAP-336,planned,P0,Needed by charts; compiled as a date_trunc group key.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
AGG-001,aggregations,Count of records,yes,yes,yes,yes,yes,PAP-336,planned,P0,Baserow field summaries.,https://baserow.io/user-docs (accessed 2026-09-19)
AGG-002,aggregations,Count empty / filled,yes,yes,yes,yes,yes,PAP-336,planned,P0,Baserow field summaries include empty and filled counts.,https://baserow.io/user-docs (accessed 2026-09-19)
AGG-003,aggregations,Count unique,yes,yes,partial,yes,partial,PAP-336,planned,P0,Baserow unique count summary.,https://baserow.io/user-docs (accessed 2026-09-19)
AGG-004,aggregations,Sum,yes,yes,yes,yes,yes,PAP-336,planned,P0,Numeric footer aggregate.,https://baserow.io/user-docs (accessed 2026-09-19)
AGG-005,aggregations,Average,yes,yes,yes,yes,yes,PAP-336,planned,P0,Numeric footer aggregate.,https://baserow.io/user-docs (accessed 2026-09-19)
AGG-006,aggregations,Min / Max,yes,yes,yes,yes,yes,PAP-336,planned,P0,Numeric and date footer aggregate.,https://baserow.io/user-docs (accessed 2026-09-19)
AGG-007,aggregations,Median,yes,yes,no,yes,partial,PAP-336,planned,P0,Airtable and Baserow summaries.,https://baserow.io/user-docs (accessed 2026-09-19)
AGG-008,aggregations,Standard deviation / variance,yes,no,no,yes,no,PAP-336,planned,P0,Airtable summary bar.,https://baserow.io/user-docs (accessed 2026-09-19)
AGG-009,aggregations,Range (max minus min),yes,no,no,yes,no,PAP-336,planned,P0,Airtable range summary.,https://baserow.io/user-docs (accessed 2026-09-19)
AGG-010,aggregations,Earliest / latest date,yes,yes,yes,yes,yes,PAP-336,planned,P0,Date aggregates for timeline headers.,https://baserow.io/user-docs (accessed 2026-09-19)
AGG-011,aggregations,Checked / unchecked percentage,yes,yes,yes,yes,partial,PAP-336,planned,P0,Checkbox aggregates.,https://baserow.io/user-docs (accessed 2026-09-19)
AGG-012,aggregations,Custom aggregate registered by a module,no,no,no,partial,no,PAP-631,planned,P0,PaperOS extension guide documents registering an aggregate.,https://baserow.io/user-docs (accessed 2026-09-19)
DEN-001,density-appearance,Row height presets,yes,yes,no,yes,yes,PAP-341,planned,P1,NocoDB toolbar Row Height; Baserow enlarge rows.,https://nocodb.com/docs/product-docs/views/views-overview (accessed 2026-09-19)
DEN-002,density-appearance,Field (column) width persisted per view,yes,yes,yes,yes,yes,PAP-343,planned,P1,NocoDB toolbar Field width.,https://nocodb.com/docs/product-docs/views/views-overview (accessed 2026-09-19)
DEN-003,density-appearance,Row colouring by a rule,paid,no,yes,paid,yes,PAP-626,planned,P1,Baserow row coloring is premium; NocoDB Row Colors in the toolbar.,https://nocodb.com/docs/product-docs/views/views-overview (accessed 2026-09-19)
DEN-004,density-appearance,Conditional cell formatting,paid,no,yes,paid,partial,PAP-626,planned,P1,Airtable colouring on interfaces; ClickUp has cell colouring.,https://nocodb.com/docs/product-docs/views/views-overview (accessed 2026-09-19)
DEN-005,density-appearance,Progress bar rendering inside a cell,no,no,yes,no,partial,PAP-626,planned,P1,ClickUp progress fields render as bars.,https://developer.clickup.com/docs/customfields (accessed 2026-09-19)
DEN-006,density-appearance,Cover image on cards,yes,yes,no,yes,yes,PAP-619,planned,P1,Gallery and kanban card covers.,https://baserow.io/user-docs (accessed 2026-09-19)
DEN-007,density-appearance,Density mode shared with the design system,no,no,no,no,no,PAP-66,planned,P1,PaperOS density tokens serve phone to 4K TV.,https://nocodb.com/docs/product-docs/views/views-overview (accessed 2026-09-19)
DEN-008,density-appearance,10-foot legible large-screen mode,no,no,no,no,no,PAP-66,planned,P1,PaperOS-only requirement (org standard).,https://nocodb.com/docs/product-docs/views/views-overview (accessed 2026-09-19)
COL-001,column-ops,Show / hide fields per view,yes,yes,yes,yes,yes,PAP-618,planned,P0,NocoDB toolbar Field visibility.,https://nocodb.com/docs/product-docs/views/views-overview (accessed 2026-09-19)
COL-002,column-ops,Reorder fields per view,yes,yes,yes,yes,yes,PAP-343,planned,P0,NocoDB toolbar Field order.,https://nocodb.com/docs/product-docs/views/views-overview (accessed 2026-09-19)
COL-003,column-ops,Resize columns,yes,yes,yes,yes,yes,PAP-343,planned,P0,NocoDB toolbar Field width.,https://nocodb.com/docs/product-docs/views/views-overview (accessed 2026-09-19)
COL-004,column-ops,Freeze / pin leading columns,yes,no,yes,yes,yes,PAP-343,planned,P0,Grid frozen region with a scroll shadow.,https://nocodb.com/docs/product-docs/views/views-overview (accessed 2026-09-19)
COL-005,column-ops,Insert a field left / right of a column,yes,yes,yes,yes,yes,PAP-332,planned,P0,Header context menu.,https://baserow.io/user-docs (accessed 2026-09-19)
COL-006,column-ops,Duplicate a field with or without data,yes,yes,no,yes,yes,PAP-332,planned,P0,Airtable duplicates values optionally.,https://baserow.io/user-docs (accessed 2026-09-19)
COL-007,column-ops,"Delete a field (soft, restorable)",yes,yes,yes,yes,partial,PAP-334,planned,P0,Baserow delete and recover data.,https://baserow.io/user-docs (accessed 2026-09-19)
COL-008,column-ops,Change a field's type in place,yes,yes,partial,yes,yes,PAP-340,planned,P0,With the lossiness report in PaperOS.,https://baserow.io/user-docs (accessed 2026-09-19)
COL-009,column-ops,Column header tooltip from the field description,yes,yes,yes,yes,partial,PAP-161,planned,P0,FieldDef.description renders as a tooltip.,https://baserow.io/user-docs (accessed 2026-09-19)
COL-010,column-ops,Context menu reachable from the keyboard,partial,partial,partial,partial,partial,PAP-150,planned,P0,PaperOS routes context menus through the command registry.,https://nocodb.com/docs/product-docs/views/views-overview (accessed 2026-09-19)
REX-001,record-expansion,Expand a record into a modal,yes,yes,yes,yes,yes,PAP-333,planned,P0,Baserow enlarge rows.,https://baserow.io/user-docs (accessed 2026-09-19)
REX-002,record-expansion,Side panel instead of a modal,no,yes,yes,no,yes,PAP-343,planned,P0,RecordPanel in PaperOS.,https://nocodb.com/docs/product-docs/views/views-overview (accessed 2026-09-19)
REX-003,record-expansion,Comments thread on the record,yes,yes,yes,yes,yes,PAP-131,planned,P0,Baserow comments and mentions.,https://baserow.io/user-docs (accessed 2026-09-19)
REX-004,record-expansion,Activity timeline on the record,yes,yes,yes,yes,yes,PAP-333,planned,P0,Baserow row change history.,https://baserow.io/user-docs (accessed 2026-09-19)
REX-005,record-expansion,Attachments tab with previews,yes,yes,yes,yes,yes,PAP-333,planned,P0,Lightbox preview from the design system.,https://baserow.io/user-docs (accessed 2026-09-19)
REX-006,record-expansion,Linked records section with inline create,yes,yes,yes,yes,yes,PAP-340,planned,P0,Round-4 amendment: allowCreate on the relation picker.,https://baserow.io/user-docs (accessed 2026-09-19)
REX-007,record-expansion,Field history per field with undo,yes,yes,partial,yes,partial,PAP-333,planned,P0,Baserow row change history; PaperOS adds per-field undo.,https://baserow.io/user-docs (accessed 2026-09-19)
REX-008,record-expansion,Record template applied on create,no,yes,yes,no,no,PAP-628,planned,P0,Notion and ClickUp templates; deferred to a PaperOS P2.,https://www.notion.com/help/database-properties (accessed 2026-09-19)
EDT-001,inline-edit,"Per-type cell editor (date picker, select menu, user picker)",yes,yes,yes,yes,yes,PAP-339,planned,P0,Editor registry per field type.,https://baserow.io/user-docs (accessed 2026-09-19)
EDT-002,inline-edit,Optimistic commit with rollback on error,partial,partial,partial,partial,partial,PAP-342,planned,P0,PaperOS states the contract explicitly.,https://baserow.io/user-docs (accessed 2026-09-19)
EDT-003,inline-edit,Copy / paste a TSV range,yes,yes,yes,yes,yes,PAP-342,planned,P0,Baserow paste data into cells.,https://baserow.io/user-docs (accessed 2026-09-19)
EDT-004,inline-edit,Fill handle (drag to fill down/across),yes,no,no,yes,yes,PAP-630,planned,P0,Airtable fill handle with series detection.,https://baserow.io/user-docs (accessed 2026-09-19)
EDT-005,inline-edit,Undo / redo of edits,yes,yes,yes,yes,yes,PAP-342,planned,P0,Registered in the shared undo manager.,https://baserow.io/user-docs (accessed 2026-09-19)
EDT-006,inline-edit,Validation error shown in the cell,partial,partial,partial,yes,yes,PAP-338,planned,P0,Baserow field value constraints surface inline.,https://baserow.io/user-docs (accessed 2026-09-19)
EDT-007,inline-edit,Read-only cells for computed fields,yes,yes,yes,yes,yes,PAP-340,planned,P0,NocoDB marks virtual columns read-only.,https://raw.githubusercontent.com/nocodb/nocodb/develop/packages/nocodb-sdk/src/lib/UITypes.ts (accessed 2026-09-19)
EDT-008,inline-edit,Edits blocked by permission show why,partial,partial,partial,yes,partial,PAP-638,planned,P2,PaperOS surfaces the can() reason.,https://baserow.io/user-docs (accessed 2026-09-19)
EDT-009,inline-edit,Unwired control shows a 'not wired yet' hint,no,no,no,no,no,PAP-614,planned,P0,"PaperOS org standard: tooltip plus toast, always visible in dev mode.",https://nocodb.com/docs/product-docs/views/views-overview (accessed 2026-09-19)
BLK-001,bulk-edit,Select a range of rows,yes,yes,yes,yes,yes,PAP-341,planned,P1,Shift-click and drag selection.,https://baserow.io/user-docs (accessed 2026-09-19)
BLK-002,bulk-edit,Select all matching the current filter,yes,yes,yes,yes,yes,PAP-334,planned,P1,Select-all across pages.,https://baserow.io/user-docs (accessed 2026-09-19)
BLK-003,bulk-edit,Bulk edit one field across the selection,no,yes,yes,partial,yes,PAP-334,planned,P1,Notion and ClickUp bulk edit; Airtable needs paste.,https://baserow.io/user-docs (accessed 2026-09-19)
BLK-004,bulk-edit,Bulk delete,yes,yes,yes,yes,yes,PAP-334,planned,P1,Server batching in PaperOS.,https://baserow.io/user-docs (accessed 2026-09-19)
BLK-005,bulk-edit,Bulk move to another table / list,no,yes,yes,no,no,PAP-334,planned,P1,ClickUp moves tasks between lists.,https://clickup.com/features/views (accessed 2026-09-19)
BLK-006,bulk-edit,Undo toast after a bulk operation,partial,yes,yes,partial,partial,PAP-334,planned,P1,PaperOS shows an undo toast with a restore link.,https://baserow.io/user-docs (accessed 2026-09-19)
BLK-007,bulk-edit,Bulk operations recorded as one audit entry,no,no,no,yes,no,PAP-38,planned,P1,Baserow audit logs; PaperOS records a reason per batch.,https://baserow.io/user-docs (accessed 2026-09-19)
KEY-001,keyboard,Arrow-key cell navigation,yes,yes,yes,yes,yes,PAP-341,planned,P0,Grid keyboard model.,https://baserow.io/user-docs (accessed 2026-09-19)
KEY-002,keyboard,"Enter to edit, Escape to cancel",yes,yes,yes,yes,yes,PAP-341,planned,P0,Grid keyboard model.,https://baserow.io/user-docs (accessed 2026-09-19)
KEY-003,keyboard,Shift-arrow range extension,yes,yes,yes,yes,yes,PAP-341,planned,P0,Selection model.,https://baserow.io/user-docs (accessed 2026-09-19)
KEY-004,keyboard,Command palette for view actions,yes,yes,yes,no,partial,PAP-291,planned,P0,PaperOS binds every action id to the palette and the voice vocabulary.,https://clickup.com/features/views (accessed 2026-09-19)
KEY-005,keyboard,Visible focus ring on every interactive element,partial,partial,partial,partial,partial,PAP-152,planned,P0,Org standard; no vendor guarantees it across views.,https://baserow.io/user-docs (accessed 2026-09-19)
KEY-006,keyboard,44 px minimum touch targets,partial,partial,partial,partial,partial,PAP-66,planned,P0,Org standard for touch and pen.,https://baserow.io/user-docs (accessed 2026-09-19)
KEY-007,keyboard,Touch range selection without a hover state,partial,partial,partial,partial,partial,PAP-341,planned,P0,Round-4 amendment covers touch ranges and RTL.,https://baserow.io/user-docs (accessed 2026-09-19)
KEY-008,keyboard,Pen / stylus input treated as a first-class pointer,no,no,no,no,no,PAP-150,planned,P0,Org standard; pointer events normalised by the input module.,https://baserow.io/user-docs (accessed 2026-09-19)
KEY-009,keyboard,TV remote / gamepad d-pad navigation,no,no,no,no,no,PAP-150,planned,P0,"Org standard: designed for, not first pass.",https://baserow.io/user-docs (accessed 2026-09-19)
KEY-010,keyboard,Voice control over view actions,partial,partial,partial,no,no,PAP-291,planned,P0,Every action declares an intent phrase in the actions registry.,https://baserow.io/user-docs (accessed 2026-09-19)
KAN-001,kanban,Stack columns by a single select,yes,yes,yes,paid,yes,PAP-167,planned,P1,Baserow kanban is premium.,https://gitlab.com/baserow/baserow/-/raw/develop/premium/backend/src/baserow_premium/views/view_types.py (accessed 2026-09-19)
KAN-002,kanban,Stack by a user field,yes,yes,yes,paid,yes,PAP-167,planned,P1,Assignee boards.,https://gitlab.com/baserow/baserow/-/raw/develop/premium/backend/src/baserow_premium/views/view_types.py (accessed 2026-09-19)
KAN-003,kanban,Drag a card between columns,yes,yes,yes,paid,yes,PAP-167,planned,P1,Writes the stack field.,https://gitlab.com/baserow/baserow/-/raw/develop/premium/backend/src/baserow_premium/views/view_types.py (accessed 2026-09-19)
KAN-004,kanban,Reorder cards inside a column,yes,yes,yes,paid,yes,PAP-167,planned,P1,Fractional index.,https://gitlab.com/baserow/baserow/-/raw/develop/premium/backend/src/baserow_premium/views/view_types.py (accessed 2026-09-19)
KAN-005,kanban,Swimlanes (a second grouping axis),no,partial,yes,no,no,PAP-167,planned,P1,ClickUp board swimlanes.,https://clickup.com/features/views (accessed 2026-09-19)
KAN-006,kanban,WIP limit per column,no,no,yes,no,no,PAP-167,planned,P1,ClickUp board WIP limits.,https://clickup.com/features/views (accessed 2026-09-19)
KAN-007,kanban,Card field selection (which fields show),yes,yes,yes,paid,yes,PAP-167,planned,P1,Card face configuration.,https://gitlab.com/baserow/baserow/-/raw/develop/premium/backend/src/baserow_premium/views/view_types.py (accessed 2026-09-19)
KAN-008,kanban,Per-column aggregate in the header,no,no,yes,no,partial,PAP-336,planned,P1,ClickUp shows sums per column.,https://clickup.com/features/views (accessed 2026-09-19)
KAN-009,kanban,Keyboard-only card move,no,no,partial,no,no,PAP-167,planned,P1,Org standard: nothing drag-only.,https://clickup.com/features/views (accessed 2026-09-19)
CAL-001,calendar-timeline-gantt,Month grid,yes,yes,yes,paid,yes,PAP-344,planned,P1,Baserow calendar is premium.,https://gitlab.com/baserow/baserow/-/raw/develop/premium/backend/src/baserow_premium/views/view_types.py (accessed 2026-09-19)
CAL-002,calendar-timeline-gantt,Week and day views,yes,no,yes,partial,yes,PAP-168,planned,P1,Notion calendar adds week; ClickUp has day. Umbrella owns the feature; children own the slices.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
CAL-003,calendar-timeline-gantt,Agenda / list of upcoming,yes,yes,yes,no,partial,PAP-344,planned,P1,Phone-friendly agenda mode.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
CAL-004,calendar-timeline-gantt,Start and end date fields (ranges),yes,yes,yes,paid,yes,PAP-344,planned,P1,Date range spanning cells.,https://gitlab.com/baserow/baserow/-/raw/develop/premium/backend/src/baserow_premium/views/view_types.py (accessed 2026-09-19)
CAL-005,calendar-timeline-gantt,Drag an event to change its date,yes,yes,yes,paid,yes,PAP-344,planned,P1,Writes the date field.,https://gitlab.com/baserow/baserow/-/raw/develop/premium/backend/src/baserow_premium/views/view_types.py (accessed 2026-09-19)
CAL-006,calendar-timeline-gantt,Resize an event to change duration,yes,yes,yes,paid,yes,PAP-345,planned,P1,Bar edit in timeline and calendar.,https://gitlab.com/baserow/baserow/-/raw/develop/premium/backend/src/baserow_premium/views/view_types.py (accessed 2026-09-19)
CAL-007,calendar-timeline-gantt,Timeline lanes grouped by a field,yes,yes,yes,paid,yes,PAP-345,planned,P1,Lane per group value.,https://gitlab.com/baserow/baserow/-/raw/develop/premium/backend/src/baserow_premium/views/view_types.py (accessed 2026-09-19)
CAL-008,calendar-timeline-gantt,Timeline zoom levels (day to year),yes,yes,yes,paid,yes,PAP-345,planned,P1,Two-axis virtualised canvas.,https://gitlab.com/baserow/baserow/-/raw/develop/premium/backend/src/baserow_premium/views/view_types.py (accessed 2026-09-19)
CAL-009,calendar-timeline-gantt,Dependency arrows between bars,no,no,yes,no,yes,PAP-346,planned,P1,ClickUp Gantt; NocoDB Gantt.,https://clickup.com/features/views (accessed 2026-09-19)
CAL-010,calendar-timeline-gantt,Critical path highlighting,no,no,yes,no,no,PAP-346,planned,P1,ClickUp Gantt critical path.,https://clickup.com/features/views (accessed 2026-09-19)
CAL-011,calendar-timeline-gantt,Working days / non-working shading,no,no,yes,no,partial,PAP-346,planned,P1,Calendar of working days.,https://clickup.com/features/views (accessed 2026-09-19)
CAL-012,calendar-timeline-gantt,Date dependency rules (shift linked dates),no,no,yes,paid,no,PAP-346,planned,P1,Baserow date dependency doc.,https://baserow.io/user-docs (accessed 2026-09-19)
CAL-013,calendar-timeline-gantt,ICS feed of a calendar view,yes,yes,yes,no,no,PAP-625,planned,P1,Subscribe from an external calendar.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
GAL-001,gallery-list,Card grid with a cover field,yes,yes,no,yes,yes,PAP-619,planned,P1,Baserow GalleryViewType.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_types.py (accessed 2026-09-19)
GAL-002,gallery-list,Choose which fields appear on the card,yes,yes,no,yes,yes,PAP-619,planned,P1,Card face configuration.,https://baserow.io/user-docs (accessed 2026-09-19)
GAL-003,gallery-list,Virtualised card rows for large datasets,no,no,no,partial,partial,PAP-619,planned,P1,PaperOS virtualises rows of cards.,https://baserow.io/user-docs (accessed 2026-09-19)
GAL-004,gallery-list,Dense list view tuned for phones,no,yes,yes,no,yes,PAP-169,planned,P1,NocoDB LIST view type. Umbrella owns the feature; children own the slices.,https://raw.githubusercontent.com/nocodb/nocodb/develop/packages/nocodb-sdk/src/lib/globals.ts (accessed 2026-09-19)
GAL-005,gallery-list,Swipe actions on a list row,no,no,yes,no,no,PAP-619,planned,P1,Mobile apps only in the vendors.,https://clickup.com/features/views (accessed 2026-09-19)
GAL-006,gallery-list,Attachment-first files view,no,no,no,no,no,PAP-619,planned,P1,Gallery over an attachment cover covers the need.,https://baserow.io/user-docs (accessed 2026-09-19)
FRM-001,forms,Form view generated from fields,yes,yes,yes,yes,yes,PAP-620,planned,P1,Baserow FormViewType; NocoDB FORM.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/views/view_types.py (accessed 2026-09-19)
FRM-002,forms,Public submission URL,yes,yes,yes,yes,yes,PAP-620,planned,P1,Anonymous submit.,https://baserow.io/user-docs (accessed 2026-09-19)
FRM-003,forms,Embeddable form,yes,yes,yes,yes,yes,PAP-624,planned,P1,iframe embed with CSP.,https://baserow.io/user-docs (accessed 2026-09-19)
FRM-004,forms,Conditional fields (show when),paid,no,yes,paid,yes,PAP-620,planned,P1,Airtable conditional form logic is a paid feature.,https://baserow.io/user-docs (accessed 2026-09-19)
FRM-005,forms,Prefilled values from the URL,yes,yes,yes,yes,yes,PAP-620,planned,P1,Query-parameter prefill.,https://baserow.io/user-docs (accessed 2026-09-19)
FRM-006,forms,Email notification on submission,yes,yes,yes,yes,yes,PAP-388,planned,P1,Automation trigger 'when a form is submitted'.,https://support.airtable.com/docs/automations-overview (accessed 2026-09-19)
FRM-007,forms,Spam protection (captcha / honeypot),yes,partial,yes,yes,partial,PAP-620,planned,P1,PaperOS uses a honeypot plus Turnstile plus rate limits.,https://baserow.io/user-docs (accessed 2026-09-19)
FRM-008,forms,Rate limiting on public submit,partial,partial,partial,partial,partial,PAP-620,planned,P1,Explicit budget in PaperOS.,https://baserow.io/user-docs (accessed 2026-09-19)
FRM-009,forms,Save a draft and resume,no,no,no,no,no,PAP-620,planned,P1,PaperOS keeps a local draft per form token.,https://baserow.io/user-docs (accessed 2026-09-19)
FRM-010,forms,Multi-page / survey mode,no,yes,yes,paid,partial,PAP-620,planned,P1,Baserow premium survey mode.,https://baserow.io/user-docs (accessed 2026-09-19)
FRM-011,forms,Edit an existing record through a form link,no,no,no,yes,yes,PAP-620,planned,P1,Baserow FormViewEditRowField.,https://gitlab.com/baserow/baserow/-/raw/develop/backend/src/baserow/contrib/database/fields/models.py (accessed 2026-09-19)
MAP-001,map,Plot records from a geo field,paid,yes,yes,no,yes,PAP-622,planned,P1,NocoDB MAP view; Notion Place property.,https://raw.githubusercontent.com/nocodb/nocodb/develop/packages/nocodb-sdk/src/lib/globals.ts (accessed 2026-09-19)
MAP-002,map,Marker clustering,paid,no,yes,no,yes,PAP-622,planned,P1,Cluster at low zoom.,https://raw.githubusercontent.com/nocodb/nocodb/develop/packages/nocodb-sdk/src/lib/globals.ts (accessed 2026-09-19)
MAP-003,map,Filter by the visible map bounds,paid,no,yes,no,partial,PAP-622,planned,P1,Bounds pushed into the view filter.,https://raw.githubusercontent.com/nocodb/nocodb/develop/packages/nocodb-sdk/src/lib/globals.ts (accessed 2026-09-19)
MAP-004,map,Rectangle / lasso select on the map,no,no,no,no,no,PAP-622,planned,P1,PaperOS adds rectangle select.,https://raw.githubusercontent.com/nocodb/nocodb/develop/packages/nocodb-sdk/src/lib/globals.ts (accessed 2026-09-19)
MAP-005,map,Geocode an address into coordinates,paid,yes,yes,no,no,PAP-640,planned,P2,Deferred: provider adapter with caching.,https://www.notion.com/help/database-properties (accessed 2026-09-19)
MAP-006,map,Self-hostable map tiles,no,no,no,no,partial,PAP-170,planned,P1,MapLibre GL keeps the tile provider swappable. Umbrella owns the feature; children own the slices.,https://raw.githubusercontent.com/nocodb/nocodb/develop/packages/nocodb-sdk/src/lib/globals.ts (accessed 2026-09-19)
CHT-001,charts-dashboards,Bar chart from a grouped view,paid,yes,yes,paid,no,PAP-621,planned,P1,Notion Chart layout.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
CHT-002,charts-dashboards,Stacked bar,paid,yes,yes,paid,no,PAP-621,planned,P1,Second group as the series.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
CHT-003,charts-dashboards,Line chart,paid,yes,yes,paid,no,PAP-621,planned,P1,Date group on the x axis.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
CHT-004,charts-dashboards,Area chart,paid,no,yes,paid,no,PAP-621,planned,P1,Variant of the line series.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
CHT-005,charts-dashboards,Pie / donut,paid,yes,yes,paid,no,PAP-621,planned,P1,Single group.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
CHT-006,charts-dashboards,Number / KPI tile,paid,yes,yes,paid,no,PAP-621,planned,P1,"One aggregate, big type.",https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
CHT-007,charts-dashboards,"Scatter, histogram, funnel, gauge, heatmap",paid,no,partial,no,no,PAP-636,planned,P2,Deferred to v0.2.,https://clickup.com/features/views (accessed 2026-09-19)
CHT-008,charts-dashboards,Dashboard with drag-arranged blocks,paid,no,yes,paid,no,PAP-385,planned,P1,Breakpoint layouts in PaperOS.,https://support.airtable.com/docs/getting-started-with-airtable-views (accessed 2026-09-19)
CHT-009,charts-dashboards,Cross-filtering between blocks,paid,no,partial,no,no,PAP-386,planned,P1,Filter bus across the page.,https://support.airtable.com/docs/getting-started-with-airtable-views (accessed 2026-09-19)
CHT-010,charts-dashboards,Permission-aware tiles (hide what you cannot see),paid,yes,yes,paid,partial,PAP-387,planned,P1,Tiles degrade instead of erroring.,https://support.airtable.com/docs/getting-started-with-airtable-views (accessed 2026-09-19)
CHT-011,charts-dashboards,Chart clicking filters the underlying view,paid,no,yes,no,no,PAP-621,planned,P1,onFilter emission.,https://clickup.com/features/views (accessed 2026-09-19)
CHT-012,charts-dashboards,Table fallback when a chart cannot render,no,no,no,no,no,PAP-621,planned,P1,Accessibility requirement in PaperOS.,https://www.notion.com/help/views-filters-and-sorts (accessed 2026-09-19)
